funding_goal,collected_amount,avg_revenue,expenses,duration_months,success
51280,25744,2941,3742,17,1
22850,69834,9925,269,17,0
94645,42232,9489,1917,11,1
40228,75819,7815,2042,33,1
78126,3841,3166,3957,24,0
15053,45927,8339,1140,22,1
79927,47097,7170,2021,17,0
78984,20530,6027,1905,28,0
14578,13952,2833,4587,11,1
81749,39507,5945,3597,15,0
67515,68622,9362,1474,13,1
37940,40010,690,1891,28,1
56809,38251,5044,393,11,1
36899,25,1369,2763,7,0
58211,49341,6728,1022,24,1
41328,53229,7053,206,31,1
60463,12264,2438,2384,14,1
21910,66534,9370,4612,9,1
15949,28545,3158,3395,23,0
22290,67858,2361,4801,6,0
28606,66153,1144,3789,25,0
84605,15198,3202,4747,21,1
70889,49429,3285,3001,24,0
29806,59786,9406,2206,26,1
11739,16897,9320,3651,6,0
46670,12535,9557,3791,7,0
33242,16406,747,4541,18,0
65093,29487,7457,4753,34,0
99602,56349,2112,1423,28,0
45831,46155,9838,4928,29,1
31851,62611,2177,418,28,1
51659,76767,5511,840,11,0
19376,76144,3886,2054,33,0
36638,24277,7503,1707,20,0
18093,76760,4189,4440,27,0
43709,45426,3661,2655,10,0
65143,29032,3922,3782,7,0
49614,68920,3664,1790,28,0
93409,69595,1559,4326,14,0
48390,79468,7330,3581,36,1
94584,11486,4320,263,16,0
99179,44582,7461,2235,33,0
73360,23565,6731,4239,29,1
23192,61938,4199,432,11,1
89017,61587,8170,2058,31,0
63502,2617,2903,2032,33,0
36928,35607,8581,3071,29,0
56817,51377,4257,241,15,1
78301,24890,3361,325,14,0
91903,19215,1386,4258,36,0
71566,33193,8438,985,15,0
36359,70249,6150,525,20,0
10049,5822,3073,1373,30,0
87684,43611,8435,2201,7,1
48155,42091,3434,328,35,0
47638,71735,6871,3159,35,0
96221,40199,6888,1742,36,0
58722,66747,1396,766,23,0
94193,29047,6139,3937,24,1
48042,67738,6645,4073,8,1
82177,73530,4475,3669,27,1
98529,39216,3168,978,34,0
50937,18129,3261,3095,18,1
84062,26209,4595,1066,30,0
89230,9918,5115,4777,31,1
81186,49955,4364,4819,17,1
20573,8041,7279,3213,6,0
62566,59819,6158,4110,17,1
86600,55096,2106,1273,26,0
12126,66808,1137,3739,31,1
78194,76273,3928,400,8,0
34101,24500,7318,3747,16,0
40944,5280,1625,2338,33,1
64768,60112,8543,3099,36,1
68294,75055,7926,4789,30,0
54142,36964,1775,4796,14,1
37453,71982,5251,4662,27,1
48106,8197,1177,3503,21,1
38848,75908,8722,949,11,1
29299,72819,9891,314,23,0
33685,55743,1351,1044,6,0
75798,28863,8437,3168,29,1
49920,57524,8963,3356,17,1
85258,4056,3619,2576,7,1
87588,59356,5430,3246,20,1
28828,48464,3433,2905,19,1
49046,73274,6087,3405,12,1
10822,20103,3082,3034,8,0
25951,46459,5422,2565,33,1
86063,53456,4669,2733,26,0
82885,9677,909,3401,30,1
89560,16874,1252,2893,20,0
61399,40293,8896,1529,24,1
48388,46634,8865,3433,18,0
45030,73817,2990,2943,18,0
77546,19828,5503,303,20,1
43819,60223,4549,2939,6,0
26107,35270,6095,2111,32,1
62391,66791,2436,2873,8,1
97112,6929,6879,4925,31,1
50541,39607,4609,3809,30,1
29908,43223,4553,3069,16,0
83290,42418,1421,1287,24,0
91808,65991,3445,1165,12,1
94986,77246,4187,757,15,1
92263,44378,3085,4680,14,1
52637,33801,1609,1436,24,0
49633,70781,7298,620,9,1
59470,13679,7642,2769,17,1
52844,47096,5189,4053,9,0
75913,72388,5753,4911,21,0
64120,64583,2815,1731,23,0
66260,48409,5489,268,13,0
32802,51898,7300,1327,19,1
61874,66053,3847,971,7,0
24722,54725,2476,595,24,1
70063,52480,1422,461,24,1
43613,22184,8297,2748,18,0
75772,5502,2553,2545,32,1
85645,40735,2925,497,21,0
32746,55781,901,3001,15,0
39163,11632,4977,4103,22,0
29610,34196,5927,3612,13,1
14625,16774,3822,3607,24,1
65191,15699,6888,2184,14,0
45258,64307,6773,1379,36,0
77258,35347,8094,3118,27,0
57725,34617,6651,2148,33,0
19169,35001,2634,2169,32,1
83257,36688,4720,3084,6,1
25743,28036,7063,1315,34,1
76530,66791,5597,471,33,0
65174,41323,5622,331,25,0
45887,24053,7226,2017,19,0
23640,74789,5584,4962,9,1
57539,38849,4832,1139,21,0
70931,57364,6869,3530,20,1
62032,18151,4864,4417,20,1
47967,41478,5845,2694,25,0
70362,6841,9294,1763,14,0
47800,39055,8898,3295,32,0
69321,39140,2028,1048,19,1
74809,52080,3827,4296,13,1
41356,46490,6424,1258,16,1
82513,21824,9287,716,7,0
77606,62935,2000,607,33,1
16320,4002,560,4728,17,0
14298,40201,4783,1914,15,1
11957,220,4411,394,28,0
98437,42550,4434,4891,10,1
93225,34397,4993,2450,36,1
86119,32375,8366,4003,22,0
43381,26299,7979,2237,11,1
79681,22274,2770,3406,6,0
33477,25808,9088,4331,35,0
30693,36646,3660,2735,7,0
89228,10317,6521,2567,35,0
81232,43738,1760,4787,19,0
79212,24107,1874,3583,7,1
87512,60521,9674,4018,31,0
10922,32949,4851,4108,20,0
48226,61363,6336,1319,31,1
76883,75187,6241,4937,15,1
22471,35017,5843,670,28,0
64034,13924,8904,4406,15,0
62701,78441,5618,3118,33,0
96804,64154,7276,4495,6,1
51861,79334,869,2051,8,0
94542,19308,6426,4992,30,1
82061,57816,2710,831,33,1
49634,74834,3575,2610,15,1
44721,25351,5402,3450,20,0
50218,12131,8691,3632,15,1
62570,3414,7405,3270,11,1
13276,67448,7087,3740,12,1
80346,62995,9636,3091,30,0
40348,42905,8816,4157,16,1
68090,61555,601,400,25,1
72440,72251,570,4058,20,1
61880,70613,9571,4081,23,1
81531,6498,6332,1914,27,1
17031,32015,3748,2218,32,0
69776,66544,1168,4064,7,0
26291,56745,3466,1501,31,1
44706,3005,2440,237,6,0
47813,55456,8681,3177,18,0
80980,75741,1739,4656,25,1
71236,73210,8319,2558,23,1
26889,16508,5824,2748,13,0
40676,66705,3767,2059,26,0
14236,33233,8338,1121,22,0
66005,34657,1774,645,25,1
15910,36787,4361,2068,23,0
72215,75504,4576,4697,32,1
26768,19162,1231,2660,31,1
